"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,2,3,4,5,6,7,8,9,82
10,11,12,13,14,15,16,17,18,82
19,20,21,22,23,24,25,26,27,82
28,29,30,31,32,33,34,35,36,82
37,38,39,40,41,42,43,44,45,82
46,47,48,49,50,51,52,53,54,82
55,56,57,58,59,60,61,62,63,82
64,65,66,67,68,69,70,71,72,82
73,74,75,76,77,78,79,80,81,82
1,10,19,28,37,46,55,64,73,83
2,11,20,29,38,47,56,65,74,83
3,12,21,30,39,48,57,66,75,83
4,13,22,31,40,49,58,67,76,83
5,14,23,32,41,50,59,68,77,83
6,15,24,33,42,51,60,69,78,83
7,16,25,34,43,52,61,70,79,83
8,17,26,35,44,53,62,71,80,83
9,18,27,36,45,54,63,72,81,83
1,11,21,31,41,51,61,71,81,84
2,12,19,32,42,49,62,72,79,84
3,10,20,33,40,50,63,70,80,84
4,14,24,34,44,54,55,65,75,84
5,15,22,35,45,52,56,66,73,84
6,13,23,36,43,53,57,64,74,84
7,17,27,28,38,48,58,68,78,84
8,18,25,29,39,46,59,69,76,84
9,16,26,30,37,47,60,67,77,84
1,12,20,34,45,53,58,69,77,85
2,10,21,35,43,54,59,67,78,85
3,11,19,36,44,52,60,68,76,85
4,15,23,28,39,47,61,72,80,85
5,13,24,29,37,48,62,70,81,85
6,14,22,30,38,46,63,71,79,85
7,18,26,31,42,50,55,66,74,85
8,16,27,32,40,51,56,64,75,85
9,17,25,33,41,49,57,65,73,85
1,13,26,33,38,52,59,72,75,86
2,14,27,31,39,53,60,70,73,86
3,15,25,32,37,54,58,71,74,86
4,16,20,36,41,46,62,66,78,86
5,17,21,34,42,47,63,64,76,86
6,18,19,35,40,48,61,65,77,86
7,10,23,30,44,49,56,69,81,86
8,11,24,28,45,50,57,67,79,86
9,12,22,29,43,51,55,68,80,86
1,14,25,36,42,48,56,67,80,87
2,15,26,34,40,46,57,68,81,87
3,13,27,35,41,47,55,69,79,87
4,17,19,30,45,51,59,70,74,87
5,18,20,28,43,49,60,71,75,87
6,16,21,29,44,50,58,72,73,87
7,11,22,33,39,54,62,64,77,87
8,12,23,31,37,52,63,65,78,87
9,10,24,32,38,53,61,66,76,87
1,15,27,30,43,50,62,65,76,88
2,13,25,28,44,51,63,66,77,88
3,14,26,29,45,49,61,64,78,88
4,18,21,33,37,53,56,68,79,88
5,16,19,31,38,54,57,69,80,88
6,17,20,32,39,52,55,67,81,88
7,12,24,36,40,47,59,71,73,88
8,10,22,34,41,48,60,72,74,88
9,11,23,35,42,46,58,70,75,88
1,16,24,35,39,49,63,68,74,89
2,17,22,36,37,50,61,69,75,89
3,18,23,34,38,51,62,67,73,89
4,10,27,29,42,52,57,71,77,89
5,11,25,30,40,53,55,72,78,89
6,12,26,28,41,54,56,70,76,89
7,13,21,32,45,46,60,65,80,89
8,14,19,33,43,47,58,66,81,89
9,15,20,31,44,48,59,64,79,89
1,17,23,29,40,54,60,66,79,90
2,18,24,30,41,52,58,64,80,90
3,16,22,28,42,53,59,65,81,90
4,11,26,32,43,48,63,69,73,90
5,12,27,33,44,46,61,67,74,90
6,10,25,31,45,47,62,68,75,90
7,14,20,35,37,51,57,72,76,90
8,15,21,36,38,49,55,70,77,90
9,13,19,34,39,50,56,71,78,90
1,18,22,32,44,47,57,70,78,91
2,16,23,33,45,48,55,71,76,91
3,17,24,31,43,46,56,72,77,91
4,12,25,35,38,50,60,64,81,91
5,10,26,36,39,51,58,65,79,91
6,11,27,34,37,49,59,66,80,91
7,15,19,29,41,53,63,67,75,91
8,13,20,30,42,54,61,68,73,91
9,14,21,28,40,52,62,69,74,91
82,83,84,85,86,87,88,89,90,91
